deliverCount,workYear,salaryMin,financeStage,pvScore,city,companyLogo,district,industryField,education,createTime,companySize,positionName,companyName,jobNature,companyLabelList,positionId,salaryAvg,salaryMax,showCount,positionType,positionAdvantage
0,3-5年,15,上市公司,0.0,上海,i/image/M00/00/68/Cgp3O1ZJNauACxvgAAASgOa45Fw146.gif,普陀区,电子商务 · 旅游,本科,2016-07-03 16:15:46,2000人以上,产品经理(目的地酒店）,驴妈妈旅游网,全职,"绩效奖金,专项奖金,五险一金,通讯津贴",2043243,20,25,0,产品经理,上市OTA 氛围好 平台好 领导nice
0,不限,6,成熟型(不需要融资),0.0,深圳,i/image/M00/1A/F5/CgqKkVb7ccCAIrLlAAA6BxolDf8087.jpg,,教育 · 企业服务,学历不限,2016-07-03 16:15:16,2000人以上,年轻人的平台 月入8000,智华传奇,全职,,2043242,8,10,0,市场/营销,助你实现实现梦想。
0,1-3年,3,初创型(未融资),0.0,广州,i/image/M00/38/90/CgqKkVdjX9WAOwXtAAAQzjVBftU704.png,番禺区,移动互联网 · 医疗健康,大专,2016-07-03 16:12:53,15-50人,平面设计师,广州微美,全职,"交通补助,带薪年假,绩效奖金,专项奖金",2043241,4,5,0,视觉设计,可提升至设计主管
0,1-3年,13,成长型(A轮),2.566399375159094,上海,i/image/M00/31/FC/CgqKkVdNCCSAdroTAAA6kblXG4k934.png,浦东新区,企业服务 · 硬件,本科,2016-07-03 16:10:50,15-50人,产品应用工程师,高仙机器人,全职,"年底双薪,股票期权,交通补助,午餐补助",1981098,19,25,6,硬件开发,"机器人行业,互联网思维,扁平管理,弹性工作"
7,1-3年,6,成熟型(不需要融资),60.15625951778769,上海,i/image/M00/25/34/Cgp3O1cd5jeAdKgZAAAbWxVzK3Y013.jpg,,移动互联网 · 旅游,大专,2016-07-03 16:08:20,2000人以上,文案策划,横店影视城,全职,"五险一金,年终分红,绩效奖金,带薪年假",1925221,8,10,25,编辑,免费游横店 年终奖金 节日福利 岗位晋升
11,1-3年,5,成熟型(不需要融资),75.768413582645,上海,i/image/M00/25/34/Cgp3O1cd5jeAdKgZAAAbWxVzK3Y013.jpg,,移动互联网 · 旅游,大专,2016-07-03 16:08:18,2000人以上,新媒体运营,横店影视城,全职,"五险一金,年终分红,绩效奖金,带薪年假",1969257,7,10,237,编辑,免费游横店 年终奖金 岗位晋升 节日福利
0,3-5年,15,上市公司,0.0,上海,i/image/M00/00/68/Cgp3O1ZJNauACxvgAAASgOa45Fw146.gif,普陀区,电子商务 · 旅游,本科,2016-07-03 16:06:45,2000人以上,搜索java工程师（平台）,驴妈妈旅游网,全职,"绩效奖金,专项奖金,五险一金,通讯津贴",2043240,20,25,0,后端开发,上市OTA 氛围好 平台好
9,不限,5,初创型(天使轮),170.7474730060378,北京,i/image/M00/2C/F2/Cgp3O1c6s72AYlVDAAAIgLS3uWw554.png,海淀区,移动互联网 · O2O,学历不限,2016-07-03 16:05:23,50-150人,室内设计师,北京万维家品科技有限公司,全职,"技能培训,专项奖金,岗位晋升,扁平管理",1380615,7,10,387,视觉设计,法定节假日
10,不限,5,初创型(天使轮),143.94031889848702,北京,i/image/M00/2C/F2/Cgp3O1c6s72AYlVDAAAIgLS3uWw554.png,海淀区,移动互联网 · O2O,学历不限,2016-07-03 16:05:14,50-150人,用户运营,北京万维家品科技有限公司,全职,"技能培训,专项奖金,岗位晋升,扁平管理",1164491,7,10,207,运营,5-18k，五险一金
2,5-10年,18,成长型(A轮),50.507199991219856,深圳,i/image/M00/18/67/CgqKkVbzr5mAQnS8AAA0TTHxOAE354.png,南山区,移动互联网,本科,2016-07-03 16:04:50,50-150人,PHP高级开发,深圳市尚巢时代形象设计有限公司,全职,,1939262,21,25,214,后端开发,14薪+项目奖金+13%公积金
2,不限,4,成长型(不需要融资),81.98109686550316,广州,images/logo_default.png,白云区,教育 · 其他,大专,2016-07-03 16:02:15,50-150人,市场专员,信盈达,全职,"技能培训,节日礼物,年底双薪,带薪年假",1922766,6,8,316,市场/营销,法定节假日，话补，春节假期15天
1,1-3年,6,成长型(不需要融资),96.80472287105799,广州,images/logo_default.png,白云区,教育 · 其他,大专,2016-07-03 16:02:14,50-150人,嵌入式,信盈达,全职,"技能培训,节日礼物,年底双薪,带薪年假",1922769,9,12,451,硬件开发,有餐补，法定节假日，过年假期15天
0,不限,4,成长型(A轮),0.1590263730260552,北京,i/image/M00/08/49/Cgp3O1bPycGAMj0hAAAgshBCvv4840.jpg,,移动互联网 · 文化娱乐,大专,2016-07-03 16:01:53,150-500人,前台（身高165以上）,映客直播,全职,"年底双薪,专项奖金,股票期权,带薪年假",2043238,6,8,4,行政,映客直播年轻娱乐产品，刚融完Ａ轮已赢利
13,1-3年,8,成长型(A轮),134.6188325338893,北京,image1/M00/45/96/CgYXBlXb2DmAC_sjAABa_huutJo739.png?cc=0.3796202908270061,海淀区,移动互联网 · 社交网络,本科,2016-07-03 16:00:19,15-50人,新媒体运营,两面科技,全职,"技能培训,节日礼物,绩效奖金,扁平管理",2018878,11,15,939,运营,创始团队来自于苹果、IBM、雅虎、阿里巴巴
5,1-3年,8,成长型(A轮),85.99921534689238,北京,image1/M00/45/96/CgYXBlXb2DmAC_sjAABa_huutJo739.png?cc=0.3796202908270061,海淀区,移动互联网 · 社交网络,本科,2016-07-03 16:00:08,15-50人,文案策划,两面科技,全职,"技能培训,节日礼物,绩效奖金,扁平管理",2018877,11,15,488,编辑,创始团队来自于苹果、IBM、雅虎、阿里巴巴
3,1-3年,5,成熟型(不需要融资),18.021954838714606,上海,i/image/M00/25/34/Cgp3O1cd5jeAdKgZAAAbWxVzK3Y013.jpg,,移动互联网 · 旅游,大专,2016-07-03 16:08:16,2000人以上,客服经理,横店影视城,全职,"五险一金,年终分红,绩效奖金,带薪年假",1858381,7,10,46,客服,免费游横店 年终奖金 绩效奖金 岗位晋升
13,不限,5,初创型(天使轮),305.1572941103866,北京,i/image/M00/2C/F2/Cgp3O1c6s72AYlVDAAAIgLS3uWw554.png,海淀区,移动互联网 · O2O,学历不限,2016-07-03 16:05:13,50-150人,编辑,北京万维家品科技有限公司,全职,"技能培训,专项奖金,岗位晋升,扁平管理",1164495,7,10,1372,编辑,5-18k，五险一金，扁平管理
3,不限,5,初创型(天使轮),83.13794281205716,北京,i/image/M00/2C/F2/Cgp3O1c6s72AYlVDAAAIgLS3uWw554.png,海淀区,移动互联网 · O2O,学历不限,2016-07-03 16:05:12,50-150人,内容运营,北京万维家品科技有限公司,全职,"技能培训,专项奖金,岗位晋升,扁平管理",1164484,7,10,334,运营,五险一金 5-18k
0,3-5年,15,上市公司,0.0,上海,i/image/M00/00/68/Cgp3O1ZJNauACxvgAAASgOa45Fw146.gif,普陀区,电子商务 · 旅游,本科,2016-07-03 16:03:22,2000人以上,PHP开发工程师（技术平台中心）,驴妈妈旅游网,全职,"绩效奖金,专项奖金,五险一金,通讯津贴",2043239,17,20,0,后端开发,上市OTA 氛围好 餐补 旅游优惠 补充医疗
